word,latitude,longitude
lights,33.8158333,-78.6802778
lights,37.2397222,-96.9952778
lights,37.6688889,-122.0797222
lights,44.7186111,-91.6897222
lights,44.7186111,-91.6897222
lights,38.2,-81.4138889
lights,38.2,-81.4138889
lights,39.6077778,-90.805
lights,38.9516667,-92.3338889
lights,32.5091667,-92.1191667
lights,40.2736111,-76.8847222
lights,40.2736111,-76.8847222
lights,36.8527778,-75.9783333
lights,41.9558333,-73.3636111
lights,43.2166667,-123.3405556
lights,32.2730556,-89.9858333
lights,42.3583333,-71.0602778
lights,39.1961111,-121.19
lights,41.4244444,-91.0430556
lights,30.2941667,-87.5736111
lights,33.0197222,-96.6986111
lights,43.3238889,-88.1666667
lights,39.1369444,-76.6986111
lights,36.5483333,-82.5619444
lights,33.3527778,-111.7883333
lights,33.3527778,-111.7883333
lights,33.5386111,-112.1852778
lights,61.2180556,-149.9002778
lights,40.155,-74.8291667
lights,47.6588889,-117.425
lights,47.6588889,-117.425
lights,42.1344444,-73.8922222
lights,42.0027778,-71.5152778
lights,40.2969444,-111.6938889
lights,35.615,-87.0352778
lights,35.8455556,-86.3902778
lights,36.7477778,-119.7713889
lights,45.2536111,-92.8055556
